Date,C,Confirmed,D,Death
1/1/2022,9980940,219126,121311,110
1/2/2022,10039372,58432,121402,91
1/3/2022,10106833,67461,121672,270
1/4/2022,10371017,264184,122014,342
1/5/2022,10693911,322894,122250,236
1/6/2022,10952698,258787,122454,204
1/7/2022,11275841,323143,122640,186
1/8/2022,11579510,303669,122782,142
1/9/2022,11875607,296097,122872,90
1/10/2022,11963184,87577,123151,279
1/11/2022,12322734,359550,123490,339
1/12/2022,12655210,332476,123714,224
1/13/2022,12956857,301647,123938,224
1/14/2022,13279505,322648,124129,191
1/15/2022,13604085,324580,124277,148
1/16/2022,13882214,278129,124358,81
1/17/2022,13971316,89102,124654,296
1/18/2022,14432833,461517,125029,375
1/19/2022,14864061,431228,125029,0
1/20/2022,15254588,390527,125462,433
1/21/2022,15652063,397475,125690,228
1/22/2022,16041383,389320,125857,167
1/23/2022,16342997,301614,125972,115
1/24/2022,16446852,103855,126358,386
1/25/2022,16948487,501635,126825,467
1/26/2022,17310548,362061,127032,207
1/27/2022,17696796,386248,127295,263
1/28/2022,18048584,351788,127557,262
1/29/2022,18380982,332398,127735,178
1/30/2022,18630430,249448,127862,127
1/31/2022,18713087,82657,128210,348
2/1/2022,19112755,399668,128567,357
2/2/2022,19378646,265891,128804,237
2/3/2022,19649274,270628,129058,254
2/4/2022,19890150,240876,129411,353
2/5/2022,20104692,214542,129581,170
2/6/2022,20260131,155439,129710,129
2/7/2022,20303662,43531,130125,415
2/8/2022,20538622,234960,130816,691
2/9/2022,20504667,0,130779,0
2/10/2022,20834193,329526,131421,642
2/11/2022,20957064,122871,131672,251
2/12/2022,21075675,118611,131833,161
2/13/2022,21162237,86562,131940,107
2/14/2022,21186090,23853,132323,383
2/15/2022,21186090,0,132323,0
2/16/2022,21397630,211540,132932,609
2/17/2022,21489937,92307,133219,287
2/18/2022,21572490,82553,133523,304
2/19/2022,21649042,76552,133670,147
2/20/2022,21708045,59003,133671,1
2/21/2022,21717576,9531,133671,0
2/22/2022,21801326,83750,134292,621
2/23/2022,21866657,65331,134493,201
2/24/2022,21933357,66700,134772,279
2/25/2022,21991477,58120,134960,188
2/26/2022,22045100,53623,135061,101
2/27/2022,22087700,42600,135137,76
2/28/2022,22098808,11108,135360,223
3/1/2022,22166213,67405,135520,160
3/2/2022,22223910,57697,135706,186
3/3/2022,22282571,58661,135885,179
3/4/2022,22340070,57499,136065,180
3/5/2022,22393748,53678,136185,120
3/6/2022,22439076,45328,136217,32
3/7/2022,22450311,11235,136391,174
3/8/2022,22530160,79849,136539,148
3/9/2022,22599285,69125,136694,155
3/10/2022,22668331,69046,136798,104
3/11/2022,22741033,72702,136947,149
3/12/2022,22811557,70524,136997,50
3/13/2022,22870593,59036,137025,28
3/14/2022,22889446,18853,137210,185
3/15/2022,22995380,105934,137342,132
3/16/2022,23101166,105786,137515,173
3/17/2022,23201324,100158,137630,115
3/18/2022,23297675,96351,137739,109
3/19/2022,23395779,98104,137801,62
3/20/2022,23477062,81283,137831,30
3/21/2022,23496196,19134,137978,147
3/22/2022,23676973,180777,138111,133
3/23/2022,23822533,145560,138212,101
3/24/2022,23962674,140141,138323,111
3/25/2022,24101868,139194,138443,120
3/26/2022,24241385,139517,138510,67
3/27/2022,24351559,110174,138551,41
3/28/2022,24376241,24682,138695,144
3/29/2022,24583965,207724,138852,157
3/30/2022,24751850,167885,139000,148
3/31/2022,24921161,169311,139139,139
4/1/2022,25068545,147384,139272,133
4/2/2022,25200659,132114,139340,68
4/3/2022,25302925,102266,139371,31
4/4/2022,25330573,27648,139520,149
4/5/2022,25529204,198631,139640,120
4/6/2022,25679132,149928,139755,115
4/7/2022,25837924,158792,139860,105
4/8/2022,25985800,147876,139999,139
4/9/2022,26127490,141690,140086,87
4/10/2022,26235144,107654,140131,45
4/11/2022,26256894,21750,140307,176
4/12/2022,26447656,190762,140466,159
4/13/2022,26581294,133638,140607,141
4/14/2022,26718636,137342,140740,133
4/15/2022,26844030,125394,140891,151
4/16/2022,26955613,111583,140952,61
4/17/2022,27042263,86650,140987,35
4/18/2022,27062073,19810,141035,48
4/19/2022,27083370,21297,141216,181
4/20/2022,27239081,155711,141443,227
4/21/2022,27343088,104007,141628,185
4/22/2022,27416764,73676,141763,135
4/23/2022,27497335,80571,141838,75
4/24/2022,27556289,58954,141878,40
4/25/2022,27567552,11263,142074,196
4/26/2022,27665050,97498,142244,170
4/27/2022,27719872,54822,142389,145
4/28/2022,27779632,59760,142521,132
4/29/2022,27829894,50262,142678,157
4/30/2022,27879376,49482,142739,61
5/1/2022,27916102,36726,142771,32
5/2/2022,27924839,8737,142951,180
5/3/2022,27978577,53738,143062,111
5/4/2022,28026502,47925,143176,114
5/5/2022,28070727,44225,143298,122
5/6/2022,28108929,38202,143408,110
5/7/2022,28146887,37958,143470,62
5/8/2022,28176211,29324,143524,54
5/9/2022,28181004,4793,143655,131
5/10/2022,28229588,48584,143772,117
5/11/2022,28269887,40299,143868,96
5/12/2022,28305934,36047,143952,84
5/13/2022,28334484,28550,144048,96
5/14/2022,28364943,30459,144059,11
5/15/2022,28387787,22844,144066,7
5/16/2022,28391147,3360,144269,203
5/17/2022,28429331,38184,144351,82
5/18/2022,28493347,64016,144431,80
5/19/2022,28521189,27842,144498,67
5/20/2022,28540650,19461,144563,65
5/21/2022,28563157,22507,144565,2
5/22/2022,28580122,16965,144568,3
5/23/2022,28550384,-29738,144700,132
5/24/2022,28575859,25475,144779,79
5/25/2022,28597865,22006,144830,51
5/26/2022,28619099,21234,144858,28
5/27/2022,28623271,4172,144903,45
5/28/2022,28646853,23582,144903,0
5/29/2022,28663293,16440,144904,1
5/30/2022,28667966,4673,145025,121
5/31/2022,28703050,35084,145101,76
6/1/2022,28721343,18293,145138,37
6/2/2022,28744662,23319,145172,34
6/3/2022,28769716,25054,145210,38
6/4/2022,28794888,25172,145213,3
6/5/2022,28815430,20542,145216,3
