Date,C,Confirmed,D,Death
1/1/2022,7176814,26392,112109,184
1/2/2022,7189329,12515,112155,46
1/3/2022,7207847,18518,112223,68
1/4/2022,7238408,30561,112579,356
1/5/2022,7297320,58912,112925,346
1/6/2022,7361660,64340,113368,443
1/7/2022,7417995,56335,113632,264
1/8/2022,7473884,55889,113900,268
1/9/2022,7510436,36552,113977,77
1/10/2022,7535691,25255,114029,52
1/11/2022,7581381,45690,114351,322
1/12/2022,7661811,80430,114735,384
1/13/2022,7743228,81417,115051,316
1/14/2022,7835451,92223,115337,286
1/15/2022,7913473,78022,115572,235
1/16/2022,7965977,52504,115619,47
1/17/2022,8000122,34145,115649,30
1/18/2022,8074527,74405,115842,193
1/19/2022,8186850,112323,116081,239
1/20/2022,8320386,133536,116315,234
1/21/2022,8460546,140160,116485,170
1/22/2022,8596007,135461,116664,179
1/23/2022,8681447,85440,116718,54
1/24/2022,8744840,63393,116746,28
1/25/2022,8871795,126955,116960,214
1/26/2022,9035795,164000,117126,166
1/27/2022,9238931,203136,117314,188
1/28/2022,9429079,190148,117484,170
1/29/2022,9618245,189166,117666,182
1/30/2022,9737215,118970,117725,59
1/31/2022,9815533,78318,117786,61
2/1/2022,9978146,162613,117974,188
2/2/2022,10186644,208498,118170,196
2/3/2022,10422764,236120,118334,164
2/4/2022,10671602,248838,118504,170
2/5/2022,10889417,217815,118676,172
2/6/2022,11022590,133173,118717,41
2/7/2022,11117857,95267,118766,49
2/8/2022,11287428,169571,118943,177
2/9/2022,11521678,234250,119215,272
2/10/2022,11769540,247862,119453,238
2/11/2022,12009712,240172,119679,226
2/12/2022,12219501,209789,119877,198
2/13/2022,12344661,125160,119935,58
2/14/2022,12421126,76465,119977,42
2/15/2022,12580343,159217,120220,243
2/16/2022,12800315,219972,120467,247
2/17/2022,13035941,235626,120728,261
2/18/2022,13255989,220048,120992,264
2/19/2022,13445094,189105,121202,210
2/20/2022,13563126,118032,121275,73
2/21/2022,13636993,73867,121297,22
2/22/2022,13762895,125902,121603,306
2/23/2022,13971947,209052,121902,299
2/24/2022,14188269,216322,122145,243
2/25/2022,14399012,210743,122371,226
2/26/2022,14574845,175833,122621,250
2/27/2022,14682758,107913,122678,57
2/28/2022,14745107,62349,122702,24
3/1/2022,14867218,122111,122937,235
3/2/2022,15053624,186406,123238,301
3/3/2022,15264297,210673,123505,267
3/4/2022,15481890,217593,123796,291
3/5/2022,15674100,192210,124051,255
3/6/2022,15790989,116889,124102,51
3/7/2022,15869417,78428,124126,24
3/8/2022,16026216,156799,124450,324
3/9/2022,16242070,215854,124764,314
3/10/2022,16504822,262752,125023,259
3/11/2022,16757658,252836,125272,249
3/12/2022,16994744,237086,125521,249
3/13/2022,17141351,146607,125571,50
3/14/2022,17233729,92378,125590,19
3/15/2022,17432617,198888,125873,283
3/16/2022,17695210,262593,126142,269
3/17/2022,17990141,294931,126420,278
3/18/2022,18287986,297845,126646,226
3/19/2022,18548225,260239,126867,221
3/20/2022,18680017,131792,126916,49
3/21/2022,18772331,92314,126929,13
3/22/2022,18994411,222080,127193,264
3/23/2022,19278143,283732,127522,329
3/24/2022,19596530,318387,127822,300
3/25/2022,19893028,296498,128110,288
3/26/2022,20145054,252026,128388,278
3/27/2022,20256278,111224,128437,49
3/28/2022,20323779,67501,128457,20
3/29/2022,20561131,237352,128764,307
3/30/2022,20829608,268477,129112,348
3/31/2022,21357095,527487,129708,596
4/1/2022,21357039,-56,129695,-13
4/2/2022,21553495,196456,129987,292
4/3/2022,21668677,115182,130052,65
4/4/2022,21668677,0,130052,0
4/5/2022,21849074,180397,130368,316
4/6/2022,22265788,416714,131036,668
4/7/2022,22441051,175263,131370,334
4/8/2022,22591726,150675,131679,309
4/9/2022,22647197,55471,131715,36
4/10/2022,22677986,30789,131728,13
4/11/2022,22878428,200442,132017,289
4/12/2022,23017079,138651,132378,361
4/13/2022,23182447,165368,132688,310
4/14/2022,23339311,156864,132900,212
4/15/2022,23376879,37568,132929,29
4/16/2022,23416663,39784,132942,13
4/17/2022,23437145,20482,132953,11
4/18/2022,23459628,22483,132960,7
4/19/2022,23658211,198583,133308,348
4/20/2022,23844536,186325,133632,324
4/21/2022,24006254,161718,133921,289
4/22/2022,24141333,135079,134155,234
4/23/2022,24180512,39179,134179,24
4/24/2022,24200596,20084,134185,6
4/25/2022,24337394,136798,134489,304
4/26/2022,24337394,0,134489,0
4/27/2022,24609159,271765,135078,589
4/28/2022,24710769,101610,135292,214
4/29/2022,24798067,87298,135451,159
4/30/2022,24809785,11718,135461,10
5/1/2022,24813817,4032,135461,0
5/2/2022,24927339,113522,135701,240
5/3/2022,25033970,106631,135942,241
5/4/2022,25130137,96167,136125,183
5/5/2022,25215210,85073,136339,214
5/6/2022,25287462,72252,136523,184
5/7/2022,25295950,8488,136533,10
5/8/2022,25299300,3350,136538,5
5/9/2022,25406868,107568,136756,218
5/10/2022,25503878,97010,136987,231
5/11/2022,25592839,88961,137184,197
5/12/2022,25661838,68999,137348,164
5/13/2022,25723697,61859,137492,144
5/14/2022,25729848,6151,137499,7
5/15/2022,25732153,2305,137499,0
5/16/2022,25818405,86252,137714,215
5/17/2022,25890456,72051,137888,174
5/18/2022,25949175,58719,138053,165
5/19/2022,25998085,48910,138204,151
5/20/2022,26040460,42375,138324,120
5/21/2022,26044283,3823,138325,1
5/22/2022,26045528,1245,138326,1
5/23/2022,26109965,64437,138485,159
5/24/2022,26159106,49141,138643,158
5/25/2022,26198811,39705,138779,136
5/26/2022,26200663,1852,138781,2
5/27/2022,26240639,39976,138854,73
5/28/2022,26243352,2713,138862,8
5/29/2022,26244107,755,138864,2
5/30/2022,26305996,61889,139000,136
5/31/2022,26360953,54957,139091,91
6/1/2022,26409455,48502,139222,131
6/2/2022,26452148,42693,139313,91
6/3/2022,26493235,41087,139386,73
6/4/2022,26493235,0,139386,0
6/5/2022,26496611,3376,139386,0
6/6/2022,26498361,1750,139388,2
6/7/2022,26583016,84655,139533,145
6/8/2022,26660652,77636,139623,90
6/9/2022,26738530,77878,139729,106
6/10/2022,26803867,65337,139806,77
6/11/2022,26803867,0,139806,0
6/12/2022,26809245,5378,139807,1
6/13/2022,26915085,105840,139914,107
6/14/2022,27007429,92344,140026,112
6/15/2022,27096571,89142,140099,73
6/16/2022,27124689,28118,140118,19
6/17/2022,27204953,80264,140176,58
6/18/2022,27204955,2,140176,0
6/19/2022,27211896,6941,140176,0
6/20/2022,27334993,123097,140358,182
6/21/2022,27454225,119232,140462,104
6/22/2022,27573585,119360,140560,98
6/23/2022,27681775,108190,140650,90
6/24/2022,27771111,89336,140734,84
6/25/2022,27771112,1,140734,0
6/26/2022,27771911,799,140734,0
6/27/2022,27914240,142329,140847,113
6/28/2022,28048190,133950,141022,175
6/29/2022,28180861,132671,141105,83
6/30/2022,28293960,113099,141189,84
7/1/2022,28392629,98669,141292,103
7/2/2022,28392630,1,141292,0
7/3/2022,28394995,2365,141295,3
7/4/2022,28542484,147489,141397,102
7/5/2022,28673212,130728,141519,122
7/6/2022,28808614,135402,141627,108
7/7/2022,28926346,117732,141758,131
7/8/2022,29022265,95919,141862,104
7/9/2022,29022265,0,141862,0
7/10/2022,29025760,3495,141870,8
7/11/2022,29180489,154729,142035,165
7/12/2022,29308100,127611,142139,104
7/13/2022,29460249,152149,142284,145
7/14/2022,29569943,109694,142399,115
7/15/2022,29692989,123046,142533,134
7/16/2022,29692989,0,142533,0
7/17/2022,29692989,0,142533,0
7/18/2022,29853680,160691,142635,102
7/19/2022,29994679,140999,142771,136
7/20/2022,30131303,136624,142948,177
7/21/2022,30239122,107819,143061,113
7/22/2022,30331131,92009,143177,116
7/23/2022,30331133,2,143177,0
7/24/2022,30331133,0,143177,0
7/25/2022,30476605,145472,143364,187
7/26/2022,30598385,121780,143545,181
7/27/2022,30702511,104126,143702,157
7/28/2022,30787309,84798,143855,153
7/29/2022,30853312,66003,143972,117
7/30/2022,30853314,2,143972,0
7/31/2022,30854175,861,143979,7
8/1/2022,30956873,102698,144150,171
8/2/2022,31044554,87681,144360,210
8/3/2022,31119199,74645,144552,192
8/4/2022,31178705,59506,144717,165
8/5/2022,31228314,49609,144858,141
8/6/2022,31228314,0,144858,0
8/7/2022,31228322,8,144858,0
8/8/2022,31307020,78698,145028,170
8/9/2022,31379757,72737,145241,213
8/10/2022,31439645,59888,145394,153
8/11/2022,31489484,49839,145561,167
8/12/2022,31535343,45859,145698,137
8/13/2022,31535343,0,145698,0
8/14/2022,31535340,0,145698,0
8/15/2022,31599085,63745,145838,140
8/16/2022,31666475,67390,146030,192
8/17/2022,31725160,58685,146214,184
8/18/2022,31771884,46724,146383,169
8/19/2022,31808179,36295,146504,121
8/20/2022,31808179,0,146504,0
8/21/2022,31808228,49,146504,0
8/22/2022,31868639,60411,146650,146
8/23/2022,31921578,52939,146797,147
