Date,C,Confirmed,D,Death
1/1/2022,34889132,27533,481770,284
1/2/2022,34922882,33750,481893,123
1/3/2022,34960261,37379,482017,124
1/4/2022,35018358,58097,482551,534
1/5/2022,35109286,90928,482876,325
1/6/2022,35226386,117100,483178,302
1/7/2022,35368372,141986,483463,285
1/8/2022,35528004,159632,483790,327
1/9/2022,35707727,179723,483936,146
1/10/2022,35875790,168063,484213,277
1/11/2022,36070510,194720,484655,442
1/12/2022,36317927,247417,485035,380
1/13/2022,36582129,264202,485446,411
1/14/2022,36850962,268833,485752,306
1/15/2022,37122164,271202,486066,314
1/16/2022,37380253,258089,486451,385
1/17/2022,37618271,238018,486761,310
1/18/2022,37901241,282970,487202,441
1/19/2022,38218773,317532,487693,491
1/20/2022,38566027,347254,488396,703
1/21/2022,38903731,337704,488884,488
1/22/2022,39237264,333533,489409,525
1/23/2022,39543328,306064,489848,439
1/24/2022,39799202,255874,490462,614
1/25/2022,40085116,285914,491127,665
1/26/2022,40371500,286384,491700,573
1/27/2022,40622709,251209,492327,627
1/28/2022,40858241,235532,493198,871
1/29/2022,41092522,234281,494091,893
1/30/2022,41302440,209918,495050,959
1/31/2022,41469499,167059,496242,1192
2/1/2022,41630885,161386,497975,1733
2/2/2022,41803318,172433,498983,1008
2/3/2022,41952712,149394,500055,1072
2/4/2022,42080664,127952,501114,1059
2/5/2022,42188138,107474,501979,865
2/6/2022,42272014,83876,502874,895
2/7/2022,42339611,67597,504062,1188
2/8/2022,42410976,71365,505279,1217
2/9/2022,42478060,67084,506520,1241
2/10/2022,42536137,58077,507177,657
2/11/2022,42586544,50407,507981,804
2/12/2022,42631421,44877,508665,684
2/13/2022,42665534,34113,509011,346
2/14/2022,42692943,27409,509358,347
2/15/2022,42723558,30615,509872,514
2/16/2022,42754315,30757,510413,541
2/17/2022,42780235,25920,510905,492
2/18/2022,42802505,22270,511230,325
2/19/2022,42822473,19968,511903,673
2/20/2022,42838524,16051,512109,206
2/21/2022,42851929,13405,512344,235
2/22/2022,42867031,15102,512622,278
2/23/2022,42881179,14148,512924,302
2/24/2022,42894345,13166,513226,302
2/25/2022,42905844,11499,513481,255
2/26/2022,42916117,10273,513724,243
2/27/2022,42924130,8013,513843,119
2/28/2022,42931045,6915,514023,180
3/1/2022,42938599,7554,514246,223
3/2/2022,42945160,6561,514388,142
3/3/2022,42951556,6396,514589,201
3/4/2022,42957477,5921,514878,289
3/5/2022,42962953,5476,515036,158
3/6/2022,42967315,4362,515102,66
3/7/2022,42971308,3993,515210,108
3/8/2022,42975883,4575,515355,145
3/9/2022,42980067,4184,515459,104
3/10/2022,42984261,4194,515714,255
3/11/2022,42987875,3614,515803,89
3/12/2022,42990991,3116,515850,47
3/13/2022,42993494,2503,515877,27
3/14/2022,42996062,2568,515974,97
3/15/2022,42998938,2876,516072,98
3/16/2022,43001477,2539,516132,60
3/17/2022,43004005,2528,516281,149
3/18/2022,43006080,2075,516352,71
3/19/2022,43007841,1761,516479,127
3/20/2022,43009390,1549,516510,31
3/21/2022,43010971,1581,516543,33
3/22/2022,43012749,1778,516605,62
3/23/2022,43014687,1938,516672,67
3/24/2022,43016372,1685,516755,83
3/25/2022,43018032,1660,520855,4100
3/26/2022,43019453,1421,521004,149
3/27/2022,43020723,1270,521035,31
3/28/2022,43021982,1259,521070,35
3/29/2022,43023215,1233,521101,31
3/30/2022,43024440,1225,521129,28
3/31/2022,43025775,1335,521181,52
4/1/2022,43027035,1260,521264,83
4/2/2022,43028131,1096,521345,81
4/3/2022,43029044,913,521358,13
4/4/2022,43029839,795,521416,58
4/5/2022,43030925,1086,521487,71
4/6/2022,43031958,1033,521530,43
4/7/2022,43033067,1109,521573,43
4/8/2022,43034217,1150,521656,83
4/9/2022,43035271,1054,521685,29
4/10/2022,43036132,861,521691,6
4/11/2022,43036928,796,521710,19
4/12/2022,43038016,1088,521736,26
4/13/2022,43039023,1007,521737,1
4/14/2022,43039972,949,521743,6
4/15/2022,43040947,975,521747,4
4/16/2022,43042097,1150,521751,4
4/17/2022,43044280,2183,521965,214
4/18/2022,43045527,1247,521966,1
4/19/2022,43047594,2067,522006,40
4/20/2022,43049974,2380,522062,56
4/21/2022,43052425,2451,522116,54
4/22/2022,43054952,2527,522149,33
4/23/2022,43057545,2593,522193,44
4/24/2022,43060086,2541,522223,30
4/25/2022,43060097,11,522223,0
4/26/2022,43065496,5399,523654,1431
4/27/2022,43068799,3303,523693,39
4/28/2022,43072176,3377,523753,60
4/29/2022,43075864,3688,523803,50
4/30/2022,43079188,3324,523843,40
5/1/2022,43082345,3157,523869,26
5/2/2022,43084913,2568,523889,20
5/3/2022,43088118,3205,523920,31
5/4/2022,43091393,3275,523975,55
5/5/2022,43094938,3545,524002,27
5/6/2022,43098743,3805,524024,22
5/7/2022,43102194,3451,524064,40
5/8/2022,43105401,3207,524093,29
5/9/2022,43107689,2288,524103,10
5/10/2022,43110586,2897,524157,54
5/11/2022,43113413,2827,524181,24
5/12/2022,43116254,2841,524190,9
5/13/2022,43119112,2858,524201,11
5/14/2022,43121599,2487,524214,13
5/15/2022,43123801,2202,524241,27
5/16/2022,43125370,1569,524260,19
5/17/2022,43127199,1829,524293,33
5/18/2022,43129563,2364,524303,10
5/19/2022,43131822,2259,524323,20
5/20/2022,43134145,2323,524348,25
5/21/2022,43136371,2226,524413,65
5/22/2022,43138393,2022,524459,46
5/23/2022,43140068,1675,524490,31
5/24/2022,43142192,2124,524507,17
