Date,C,Confirmed,D,Death
1/1/2022,6266939,141256,137513,111
1/2/2022,6328076,61137,137646,133
1/3/2022,6396110,68034,137786,140
1/4/2022,6566947,170837,138045,259
1/5/2022,6756035,189088,138276,231
1/6/2022,6975465,219430,138474,198
1/7/2022,7083762,108297,138697,223
1/8/2022,7281297,197535,138881,184
1/9/2022,7436939,155642,139038,157
1/10/2022,7554344,117405,139265,227
1/11/2022,7774863,220519,139559,294
1/12/2022,7971068,196205,139872,313
1/13/2022,8155645,184577,140188,316
1/14/2022,8356514,200869,140548,360
1/15/2022,8549450,192936,140856,308
1/16/2022,8706915,157465,141104,248
1/17/2022,8790302,83387,141391,287
1/18/2022,9018425,228123,141825,434
1/19/2022,9219391,200966,142205,380
1/20/2022,9418256,198865,142590,385
1/21/2022,9603856,185600,142963,373
1/22/2022,9781191,177335,143296,333
1/23/2022,9923678,142487,143523,227
1/24/2022,10001344,77666,143875,352
1/25/2022,10212621,211277,144343,468
1/26/2022,10383561,170940,144770,427
1/27/2022,10539601,156040,145159,389
1/28/2022,10683948,144347,145537,378
1/29/2022,10821375,137427,145914,377
1/30/2022,10925485,104110,146149,235
1/31/2022,10983116,57631,146498,349
2/1/2022,11116422,133306,146925,427
2/2/2022,11235745,119323,147320,395
2/3/2022,11348701,112956,147734,414
2/4/2022,11449601,100900,148167,433
2/5/2022,11542793,93192,148542,375
2/6/2022,11621736,78943,148771,229
2/7/2022,11663338,41602,149097,326
2/8/2022,11765767,102429,149512,415
2/9/2022,11847436,81669,149896,384
2/10/2022,11923631,76195,150221,325
2/11/2022,11991109,67478,150555,334
2/12/2022,12053330,62221,150824,269
2/13/2022,12105675,52345,151015,191
2/14/2022,12134451,28776,151296,281
2/15/2022,12205474,71023,151684,388
2/16/2022,12265343,59869,151962,278
2/17/2022,12323398,58055,152282,320
2/18/2022,12377098,53700,152596,314
2/19/2022,12427773,50675,152848,252
2/20/2022,12469975,42202,152989,141
2/21/2022,12494459,24484,153190,201
2/22/2022,12554596,60137,153512,322
2/23/2022,12603758,49162,153764,252
2/24/2022,12651251,47493,154013,249
2/25/2022,12693320,42069,154206,193
2/26/2022,12732680,39360,154416,210
2/27/2022,12764558,31878,154560,144
2/28/2022,12782836,18278,154767,207
3/1/2022,12829972,47136,155000,233
3/2/2022,12867918,37946,155214,214
3/3/2022,12910506,42588,155399,185
3/4/2022,12948859,38353,155609,210
3/5/2022,12990223,41364,155782,173
3/6/2022,13026112,35889,155887,105
3/7/2022,13048774,22662,156017,130
3/8/2022,13109527,60753,156201,184
3/9/2022,13159342,49815,156357,156
3/10/2022,13214498,55156,156493,136
3/11/2022,13268459,53961,156649,156
3/12/2022,13323179,54720,156782,133
3/13/2022,13373207,50028,156868,86
3/14/2022,13402905,29698,156997,129
3/15/2022,13489319,86414,157177,180
3/16/2022,13563466,74147,157314,137
3/17/2022,13645834,82368,157442,128
3/18/2022,13724411,78577,157607,165
3/19/2022,13800179,75768,157692,85
3/20/2022,13861743,61564,157785,93
3/21/2022,13895188,33445,157904,119
3/22/2022,13992092,96904,158101,197
3/23/2022,14070450,78358,158254,153
3/24/2022,14153098,82648,158436,182
3/25/2022,14229495,76397,158582,146
3/26/2022,14304111,74616,158700,118
3/27/2022,14364723,60612,158782,82
3/28/2022,14396283,31560,158877,95
3/29/2022,14496579,100296,159054,177
3/30/2022,14567990,71411,159224,170
3/31/2022,14642354,74364,159383,159
4/1/2022,14719394,77040,159537,154
4/2/2022,14790806,71412,159666,129
4/3/2022,14845815,55009,159784,118
4/4/2022,14877144,31329,159909,125
4/5/2022,14966058,88914,160103,194
4/6/2022,15035943,69885,160253,150
4/7/2022,15106066,70123,160402,149
4/8/2022,15173707,67641,160546,144
4/9/2022,15238128,64421,160658,112
4/10/2022,15292048,53920,160748,90
4/11/2022,15320753,28705,160863,115
4/12/2022,15404809,84056,161032,169
4/13/2022,15467395,62586,161187,155
4/14/2022,15533012,65617,161336,149
4/15/2022,15595302,62290,161469,133
4/16/2022,15659835,64533,161602,133
4/17/2022,15712088,52253,161687,85
4/18/2022,15730676,18588,161766,79
4/19/2022,15758002,27326,161893,127
4/20/2022,15858442,100440,162098,205
4/21/2022,15934437,75995,162264,166
4/22/2022,16008181,73744,162466,202
4/23/2022,16079209,71028,162609,143
4/24/2022,16136057,56848,162688,79
4/25/2022,16161339,25282,162781,93
4/26/2022,16191323,29984,162927,146
4/27/2022,16279754,88431,163113,186
4/28/2022,16349788,70034,163244,131
4/29/2022,16409183,59395,163377,133
4/30/2022,16463200,54017,163507,130
5/1/2022,16504791,41591,163612,105
5/2/2022,16523859,19068,163736,124
5/3/2022,16586268,62409,163889,153
5/4/2022,16633911,47643,164041,152
5/5/2022,16682626,48715,164179,138
5/6/2022,16726990,44364,164304,125
5/7/2022,16767773,40783,164417,113
5/8/2022,16798998,31225,164489,72
5/9/2022,16816419,17421,164573,84
5/10/2022,16872618,56199,164731,158
5/11/2022,16915301,42683,164846,115
5/12/2022,16954784,39483,164976,130
5/13/2022,16993813,39029,165091,115
5/14/2022,17030147,36334,165182,91
5/15/2022,17057873,27726,165244,62
5/16/2022,17071649,13776,165346,102
5/17/2022,17116550,44901,165494,148
5/18/2022,17147477,30927,165630,136
5/19/2022,17178199,30722,165738,108
5/20/2022,17205017,26818,165827,89
5/21/2022,17229263,24246,165918,91
5/22/2022,17247552,18289,165952,34
5/23/2022,17257573,10021,166032,80
5/24/2022,17288287,30714,166127,95
5/25/2022,17312432,24145,166264,137
5/26/2022,17333299,20867,166358,94
5/27/2022,17355119,21820,166476,118
5/28/2022,17373741,18622,166542,66
5/29/2022,17388877,15136,166569,27
5/30/2022,17396723,7846,166631,62
5/31/2022,17421410,24687,166697,66
6/1/2022,17440232,18822,166756,59
6/2/2022,17457950,17718,166835,79
6/3/2022,17467642,9692,166875,40
6/4/2022,17490451,22809,166922,47
6/5/2022,17505973,15522,166949,27
6/6/2022,17514589,8616,167019,70
6/7/2022,17543136,28547,167089,70
6/8/2022,17566061,22925,167169,80
6/9/2022,17589595,23534,167253,84
6/10/2022,17611607,22012,167305,52
6/11/2022,17634065,22458,167365,60
6/12/2022,17653375,19310,167391,26
6/13/2022,17664043,10668,167432,41
6/14/2022,17703887,39844,167505,73
6/15/2022,17736696,32809,167553,48
6/16/2022,17773764,37068,167617,64
6/17/2022,17809934,36170,167658,41
6/18/2022,17844905,34971,167703,45
6/19/2022,17879160,34255,167721,18
6/20/2022,17896065,16905,167780,59
6/21/2022,17959329,63264,167842,62
6/22/2022,18014202,54873,167892,50
6/23/2022,18071634,57432,167967,75
6/24/2022,18128044,56410,168018,51
6/25/2022,18184917,56873,168058,40
6/26/2022,18234242,49325,168102,44
6/27/2022,18259261,25019,168165,63
6/28/2022,18343422,84161,168234,69
6/29/2022,18438877,95455,168294,60
6/30/2022,18523111,84234,168353,59
7/1/2022,18610011,86900,168425,72
7/2/2022,18695954,85943,168488,63
7/3/2022,18768871,72917,168545,57
7/4/2022,18805756,36885,168604,59
7/5/2022,18938771,133015,168698,94
7/6/2022,19048788,110017,168770,72
7/7/2022,19157174,108386,168864,94
7/8/2022,19259037,101863,168969,105
7/9/2022,19357938,98901,169062,93
7/10/2022,19439501,81563,169106,44
7/11/2022,19523262,83761,169233,127
7/12/2022,19667320,144058,169390,157
7/13/2022,19778911,111591,169496,106
7/14/2022,19887543,108632,169601,105
7/15/2022,19985479,97936,169735,134
7/16/2022,20076863,91384,169846,111
7/17/2022,20145859,68996,169925,79
7/18/2022,20177910,32051,170037,112
7/19/2022,20299013,121103,170213,176
7/20/2022,20385814,86801,170370,157
7/21/2022,20467349,81535,170527,157
7/22/2022,20539016,71667,170682,155
7/23/2022,20608190,69174,170798,116
7/24/2022,20660065,51875,170875,77
7/25/2022,20684182,24117,170979,104
7/26/2022,20772833,88651,171232,253
7/27/2022,20837233,64400,171439,207
7/28/2022,20898059,60826,171638,199
7/29/2022,20952476,54417,171882,244
7/30/2022,21002773,50297,172003,121
7/31/2022,21040025,37252,172086,83
8/1/2022,21059545,19520,172207,121
8/2/2022,21124644,65099,172397,190
8/3/2022,21170600,45956,172568,171
8/4/2022,21213559,42959,172729,161
8/5/2022,21251774,38215,172904,175
8/6/2022,21286771,34997,173062,158
8/7/2022,21313427,26656,173136,74
8/8/2022,21325402,11975,173249,113
8/9/2022,21368480,43078,173426,177
8/10/2022,21400179,31699,173571,145
8/11/2022,21428602,28423,173701,130
8/12/2022,21455291,26689,173853,152
8/13/2022,21480076,24785,173982,129
8/14/2022,21499531,19455,174060,78
8/15/2022,21509424,9893,174102,42
8/16/2022,21518365,8941,174172,70
8/17/2022,21554626,36261,174300,128
8/18/2022,21581917,27291,174447,147
8/19/2022,21606606,24689,174571,124
8/20/2022,21630998,24392,174659,88
8/21/2022,21650468,19470,174722,63
8/22/2022,21660885,10417,174797,75
8/23/2022,21696242,35357,174931,134
8/24/2022,21721630,25388,175043,112
8/25/2022,21745065,23435,175127,84
8/26/2022,21767060,21995,175226,99
8/27/2022,21788862,21802,175306,80
8/28/2022,21806509,17647,175347,41
8/29/2022,21814856,8347,175407,60
8/30/2022,21845943,31087,175505,98
8/31/2022,21867757,21814,175595,90
9/1/2022,21888255,20498,175663,68
9/2/2022,21907413,19158,175754,91
9/3/2022,21925073,17660,175802,48
9/4/2022,21938269,13196,175832,30
9/5/2022,21944877,6608,175872,40
9/6/2022,21969725,24848,175952,80
9/7/2022,21987295,17570,176009,57
9/8/2022,22004612,17317,176098,89
9/9/2022,22020154,15542,176157,59
9/10/2022,22035291,15137,176204,47
9/11/2022,22047192,11901,176238,34
9/12/2022,22054443,7251,176242,4
9/13/2022,22077601,23158,176335,93
9/14/2022,22096450,18849,176404,69
9/15/2022,22114423,17973,176464,60
9/16/2022,22131785,17362,176508,44
9/17/2022,22148935,17150,176546,38
9/18/2022,22161016,12081,176578,32
9/19/2022,22169273,8257,176609,31
9/20/2022,22197658,28385,176669,60
9/21/2022,22218846,21188,176715,46
9/22/2022,22241369,22523,176775,60
9/23/2022,22262452,21083,176824,49
9/24/2022,22284812,22360,176867,43
9/25/2022,22303606,18794,176880,13
9/26/2022,22313612,10006,176912,32
9/27/2022,22358487,44875,176976,64
9/28/2022,22395282,36795,177024,48
9/29/2022,22432803,37521,177054,30
9/30/2022,22467278,34475,177092,38
10/1/2022,22500346,33068,177130,38
10/2/2022,22529252,28906,177150,20
10/3/2022,22542568,13316,177197,47
10/4/2022,22602840,60272,177257,60
10/5/2022,22648063,45223,177300,43
10/6/2022,22692912,44849,177356,56
10/7/2022,22737577,44665,177418,62
10/8/2022,22781293,43716,177478,60
10/9/2022,22815736,34443,177519,41
10/10/2022,22830825,15089,177570,51
10/11/2022,22896742,65917,177650,80
10/12/2022,22944496,47754,177719,69
10/13/2022,22990201,45705,177785,66
10/14/2022,23030777,40576,177883,98
10/15/2022,23069745,38968,177956,73
10/16/2022,23099983,30238,177988,32
10/17/2022,23114013,14030,178081,93
10/18/2022,23172370,58357,178194,113
10/19/2022,23214073,41703,178275,81
10/20/2022,23254633,40560,178359,84
10/21/2022,23290747,36114,178450,91
10/22/2022,23322522,31775,178542,92
10/23/2022,23348075,25553,178594,52
10/24/2022,23359680,11605,178633,39
10/25/2022,23408393,48713,178753,120
10/26/2022,23443429,35036,178846,93
10/27/2022,23475187,31758,178940,94
10/28/2022,23504224,29037,179025,85
10/29/2022,23531023,26799,179101,76
10/30/2022,23531023,0,179101,0
10/31/2022,23531023,0,179101,0
11/1/2022,23531023,0,179101,0
11/2/2022,23531023,0,179101,0
11/3/2022,23531023,0,179101,0
11/4/2022,23642011,110988,179436,335
11/5/2022,23642011,0,179436,0
11/6/2022,23642011,0,179436,0
11/7/2022,23642011,0,179436,0
11/8/2022,23642011,0,179436,0
11/9/2022,23642011,0,179436,0
11/10/2022,23642011,0,179436,0
11/11/2022,23823192,181181,179985,549
11/12/2022,23823192,0,179985,0
11/13/2022,23823192,0,179985,0
11/14/2022,23823192,0,179985,0
11/15/2022,23823192,0,179985,0
11/16/2022,23823192,0,179985,0
