Date,C,Confirmed,D,Death
1/1/2022,9980940,528,121311,0
1/2/2022,10039372,628,121402,2
1/3/2022,10106833,781,121672,1
1/4/2022,10371017,1266,122014,1
1/5/2022,10693911,2488,122250,1
1/6/2022,10952698,4444,122454,1
1/7/2022,11275841,6244,122640,1
1/8/2022,11579510,8611,122782,2
1/9/2022,11875607,8242,122872,1
1/10/2022,11963184,6430,123151,2
1/11/2022,12322734,6374,123490,2
1/12/2022,12655210,13235,123714,5
1/13/2022,12956857,18677,123938,4
1/14/2022,13279505,22220,124129,11
1/15/2022,13604085,25733,124277,6
1/16/2022,13882214,25479,124358,0
1/17/2022,13971316,20998,124654,4
1/18/2022,14432833,32342,125029,10
1/19/2022,14864061,41478,125029,15
1/20/2022,15254588,46178,125462,9
1/21/2022,15652063,49845,125690,9
1/22/2022,16041383,54411,125857,17
1/23/2022,16342997,49983,125972,14
1/24/2022,16446852,44839,126358,17
1/25/2022,16948487,62614,126825,43
1/26/2022,17310548,71597,127032,34
1/27/2022,17696796,79012,127295,47
1/28/2022,18048584,81788,127557,44
1/29/2022,18380982,84889,127735,42
1/30/2022,18630430,78106,127862,30
1/31/2022,18713087,60959,128210,48
2/1/2022,19112755,81688,128567,70
2/2/2022,19378646,94886,128804,82
2/3/2022,19649274,104442,129058,90
2/4/2022,19890150,98177,129411,103
2/5/2022,20104692,102275,129581,116
2/6/2022,20260131,89986,129710,68
2/7/2022,20303662,68004,130125,113
2/8/2022,20538622,101184,130816,159
2/9/2022,20504667,97799,130779,162
2/10/2022,20834193,99723,131421,164
2/11/2022,20957064,98349,131672,150
2/12/2022,21075675,68433,131833,145
2/13/2022,21162237,77435,131940,137
2/14/2022,21186090,60110,132323,149
2/15/2022,21186090,84195,132323,236
2/16/2022,21397630,90930,132932,230
2/17/2022,21489937,95180,133219,271
2/18/2022,21572490,87698,133523,210
2/19/2022,21649042,81519,133670,218
2/20/2022,21708045,71494,133671,159
2/21/2022,21717576,51909,133671,173
2/22/2022,21801326,69617,134292,322
2/23/2022,21866657,80351,134493,246
2/24/2022,21933357,61222,134772,206
2/25/2022,21991477,65640,134960,278
2/26/2022,22045100,72148,135061,256
2/27/2022,22087700,63696,135137,144
2/28/2022,22098808,51092,135360,198
3/1/2022,22166213,65368,135520,238
3/2/2022,22223910,72600,135706,235
3/3/2022,22282571,70268,135885,258
3/4/2022,22340070,63687,136065,234
3/5/2022,22393748,63591,136185,184
3/6/2022,22439076,54033,136217,132
3/7/2022,22450311,37002,136391,120
3/8/2022,22530160,53938,136539,249
3/9/2022,22599285,63867,136694,213
3/10/2022,22668331,61063,136798,188
3/11/2022,22741033,55986,136947,209
3/12/2022,22811557,55226,136997,141
3/13/2022,22870593,50947,137025,90
3/14/2022,22889446,32359,137210,116
3/15/2022,22995380,50935,137342,188
3/16/2022,23101166,57912,137515,163
3/17/2022,23201324,53478,137630,171
3/18/2022,23297675,49182,137739,156
3/19/2022,23395779,44593,137801,104
3/20/2022,23477062,39560,137831,66
3/21/2022,23496196,27566,137978,58
3/22/2022,23676973,20152,138111,71
