Date,C,Confirmed,D,Death
1/1/2022,14255,137,48,0
1/2/2022,14306,51,49,1
1/3/2022,14365,59,49,0
1/4/2022,14405,40,49,0
1/5/2022,14467,62,49,0
1/6/2022,14525,58,49,0
1/7/2022,14525,0,49,0
1/8/2022,14673,148,49,0
1/9/2022,14733,60,51,2
1/10/2022,14756,23,51,0
1/11/2022,14848,92,51,0
1/12/2022,14887,39,51,0
1/13/2022,14947,60,51,0
1/14/2022,15001,54,51,0
1/15/2022,15069,68,51,0
1/16/2022,15127,58,51,0
1/17/2022,15170,43,51,0
1/18/2022,15249,79,51,0
1/19/2022,15334,85,51,0
1/20/2022,15401,67,51,0
1/21/2022,15479,78,51,0
1/22/2022,15550,71,51,0
1/23/2022,15625,75,52,1
1/24/2022,15687,62,52,0
1/25/2022,15745,58,52,0
1/26/2022,15842,97,52,0
1/27/2022,15991,149,52,0
1/28/2022,16146,155,52,0
1/29/2022,16286,140,52,0
1/30/2022,16416,130,52,0
1/31/2022,16620,204,52,0
2/1/2022,16817,197,52,0
2/2/2022,17005,188,52,0
2/3/2022,17277,272,52,0
2/4/2022,17546,269,52,0
2/5/2022,17773,227,52,0
2/6/2022,17988,215,52,0
2/7/2022,18253,265,52,0
2/8/2022,18503,250,52,0
2/9/2022,18837,334,52,0
2/10/2022,19313,476,52,0
2/11/2022,19777,464,52,0
2/12/2022,19777,0,52,0
2/13/2022,21573,1796,53,1
2/14/2022,22328,755,53,0
2/15/2022,23509,1181,53,0
2/16/2022,25050,1541,53,0
2/17/2022,26935,1885,53,0
2/18/2022,28751,1816,53,0
2/19/2022,31087,2336,53,0
2/20/2022,33317,2230,64,11
2/21/2022,36162,2845,64,0
2/22/2022,39345,3183,64,0
2/23/2022,45473,6128,64,0
2/24/2022,57497,12024,64,0
2/25/2022,71122,13625,64,0
2/26/2022,71122,0,64,0
2/27/2022,86138,15016,84,20
2/28/2022,118812,32674,84,0
3/1/2022,142918,24106,84,0
3/2/2022,166098,23180,84,0
3/3/2022,188680,22582,84,0
3/4/2022,207562,18882,84,0
3/5/2022,222767,15205,84,0
3/6/2022,240319,17552,118,34
3/7/2022,264255,23936,118,0
3/8/2022,286750,22495,118,0
3/9/2022,286750,0,118,0
3/10/2022,307803,21053,118,0
3/11/2022,347576,39773,118,0
3/12/2022,362109,14533,118,0
3/13/2022,377685,15576,180,62
3/14/2022,399342,21657,180,0
3/15/2022,399342,0,180,0
3/16/2022,438477,39135,180,0
3/17/2022,452670,14193,180,0
3/18/2022,471225,18555,180,0
3/19/2022,483222,11997,180,0
3/20/2022,497731,14509,273,93
3/21/2022,518685,20954,273,0
3/22/2022,538839,20154,273,0
3/23/2022,557330,18491,273,0
3/24/2022,573244,15914,273,0
3/25/2022,587467,14223,273,0
3/26/2022,597745,10278,273,0
3/27/2022,610687,12942,365,92
3/28/2022,627898,17211,365,0
3/29/2022,643875,15977,365,0
3/30/2022,659175,15300,365,0
3/31/2022,672712,13537,365,0
4/1/2022,684374,11662,365,0
4/2/2022,693219,8845,365,0
4/3/2022,703467,10248,434,69
4/4/2022,717650,14183,434,0
4/5/2022,730285,12635,434,0
4/6/2022,741987,11702,434,0
4/7/2022,741987,0,434,0
4/8/2022,760540,18553,434,0
4/9/2022,767295,6755,434,0
4/10/2022,774928,7633,516,82
4/11/2022,786058,11130,516,0
4/12/2022,795606,9548,516,0
4/13/2022,805240,9634,533,17
4/14/2022,813070,7830,516,0
4/15/2022,818882,5812,516,0
4/16/2022,824867,5985,516,0
4/17/2022,831149,6282,585,69
4/18/2022,831149,0,585,0
4/19/2022,850747,19598,585,0
4/20/2022,861118,10371,585,0
4/21/2022,870591,9473,585,0
4/22/2022,878575,7984,585,0
4/23/2022,884289,5714,585,0
4/24/2022,890039,5750,636,51
4/25/2022,896495,6456,636,0
4/26/2022,906397,9902,636,0
4/27/2022,915522,9125,636,0
4/28/2022,923847,8325,636,0
4/29/2022,930969,7122,636,0
4/30/2022,936697,5728,636,0
5/1/2022,943428,6731,697,61
5/2/2022,952697,9269,697,0
5/3/2022,961262,8565,697,0
5/4/2022,969959,8697,697,0
5/5/2022,977380,7421,697,0
5/6/2022,984218,6838,697,0
5/7/2022,989946,5728,697,0
5/8/2022,996417,6471,750,53
5/9/2022,1005674,9257,750,0
5/10/2022,1013721,8047,750,0
5/11/2022,1023205,9484,750,0
5/12/2022,1030733,7528,750,0
5/13/2022,1037855,7122,750,0
5/14/2022,1043683,5828,750,0
5/15/2022,1050797,7114,797,47
5/16/2022,1060710,9913,797,0
5/17/2022,1070373,9663,797,0
5/18/2022,1079557,9184,797,0
5/19/2022,1087466,7909,797,0
5/20/2022,1094192,6726,797,0
5/21/2022,1099250,5058,797,0
5/22/2022,1105317,6067,805,8
5/23/2022,1113828,8511,845,40
5/24/2022,1122075,8247,845,0
5/25/2022,1129749,7674,845,0
5/26/2022,1136708,6959,845,0
5/27/2022,1143146,6438,845,0
5/28/2022,1148045,4899,845,0
5/29/2022,1153946,5901,890,45
5/30/2022,1162499,8553,890,0
5/31/2022,1170815,8316,890,0
6/1/2022,1178816,8001,890,0
6/2/2022,1185151,6335,890,0
6/3/2022,1191560,6409,890,0
6/4/2022,1196033,4473,890,0
6/5/2022,1196033,0,943,53
6/6/2022,1206411,10378,943,0
6/7/2022,1213546,7135,943,0
6/8/2022,1221724,8178,943,0
6/9/2022,1228187,6463,943,0
6/10/2022,1233450,5263,943,0
6/11/2022,1237979,4529,943,0
6/12/2022,1242497,4518,993,50
6/13/2022,1248852,6355,993,0
6/14/2022,1254560,5708,993,0
6/15/2022,1260441,5881,993,0
6/16/2022,1265455,5014,993,0
