Date,C,Confirmed,D,Death
1/1/2022,1296527,594,28941,8
1/2/2022,1297235,708,28943,2
1/3/2022,1297865,630,28945,2
1/4/2022,1298763,898,28950,5
1/5/2022,1299848,1085,28955,5
1/6/2022,1301141,1293,28961,6
1/7/2022,1302486,1345,28962,1
1/8/2022,1304058,1572,28969,7
1/9/2022,1305707,1649,28972,3
1/10/2022,1307174,1467,28974,2
1/11/2022,1309248,2074,28987,13
1/12/2022,1312267,3019,28992,5
1/13/2022,1315834,3567,28999,7
1/14/2022,1320120,4286,29003,4
1/15/2022,1324147,4027,29012,9
1/16/2022,1328487,4340,29019,7
1/17/2022,1333521,5034,29029,10
1/18/2022,1338993,5472,29037,8
1/19/2022,1345801,6808,29042,5
1/20/2022,1353479,7678,29065,23
1/21/2022,1360019,6540,29077,12
1/22/2022,1367605,7586,29097,20
1/23/2022,1374800,7195,29105,8
1/24/2022,1381152,6352,29122,17
1/25/2022,1386348,5196,29137,15
1/26/2022,1393887,7539,29162,25
1/27/2022,1402070,8183,29192,30
1/28/2022,1410033,7963,29219,27
1/29/2022,1417991,7958,29248,29
1/30/2022,1425039,7048,29269,21
1/31/2022,1430366,5327,29301,32
2/1/2022,1436413,6047,29330,29
2/2/2022,1442263,5850,29372,42
2/3/2022,1448663,6400,29420,48
2/4/2022,1454800,6137,29448,28
2/5/2022,1459773,4973,29478,30
2/6/2022,1463111,3338,29516,38
2/7/2022,1465910,2799,29553,37
2/8/2022,1470161,4251,29601,48
2/9/2022,1474075,3914,29648,47
2/10/2022,1477573,3498,29687,39
2/11/2022,1480592,3019,29731,44
2/12/2022,1483798,3206,29772,41
2/13/2022,1486361,2563,29801,29
2/14/2022,1488958,2597,29828,27
2/15/2022,1491423,2465,29877,49
2/16/2022,1494293,2870,29917,40
2/17/2022,1496693,2400,29950,33
2/18/2022,1498676,1983,29976,26
2/19/2022,1500320,1644,30009,33
2/20/2022,1501680,1360,30040,31
2/21/2022,1502641,961,30053,13
2/22/2022,1503873,1232,30096,43
2/23/2022,1505328,1455,30114,18
2/24/2022,1506450,1122,30139,25
2/25/2022,1507657,1207,30153,14
2/26/2022,1508504,847,30173,20
2/27/2022,1509360,856,30178,5
2/28/2022,1510221,861,30196,18
3/1/2022,1510986,765,30218,22
3/2/2022,1511754,768,30237,19
3/3/2022,1512707,953,30248,11
3/4/2022,1513503,796,30258,10
3/5/2022,1514258,755,30265,7
3/6/2022,1515014,756,30272,7
3/7/2022,1515392,378,30281,9
3/8/2022,1516150,758,30287,6
3/9/2022,1516789,639,30291,4
3/10/2022,1517512,723,30298,7
3/11/2022,1518083,571,30304,6
3/12/2022,1518692,609,30307,3
3/13/2022,1519154,462,30309,2
3/14/2022,1519627,473,30313,4
3/15/2022,1520120,493,30317,4
3/16/2022,1520634,514,30319,2
3/17/2022,1520817,183,30326,7
3/18/2022,1521513,696,30328,2
3/19/2022,1521888,375,30329,1
3/20/2022,1522191,303,30331,2
3/21/2022,1522419,228,30333,2
3/22/2022,1522862,443,30333,0
3/23/2022,1523072,210,30333,0
3/24/2022,1523401,329,30336,3
3/25/2022,1523590,189,30340,4
3/26/2022,1523900,310,30345,5
3/27/2022,1524086,186,30346,1
3/28/2022,1524355,269,30347,1
3/29/2022,1524549,194,30349,2
3/30/2022,1524793,244,30355,6
3/31/2022,1524973,180,30359,4
4/1/2022,1525181,208,30360,1
4/2/2022,1525466,285,30361,1
4/3/2022,1525620,154,30361,0
4/4/2022,1525775,155,30361,0
4/5/2022,1525923,148,30361,0
4/6/2022,1526093,170,30361,0
4/7/2022,1526234,141,30361,0
4/8/2022,1526472,238,30361,0
4/9/2022,1526568,96,30361,0
