Date,C,Confirmed,D,Death
1/1/2022,1585909,370,28076,4
1/2/2022,1586466,557,28077,1
1/3/2022,1587140,674,28081,4
1/4/2022,1587915,775,28087,6
1/5/2022,1588807,892,28090,3
1/6/2022,1589947,1140,28097,7
1/7/2022,1591093,1146,28098,1
1/8/2022,1592209,1116,28099,1
1/9/2022,1593700,1491,28102,3
1/10/2022,1595931,2231,28105,3
1/11/2022,1598389,2458,28107,2
1/12/2022,1601305,2916,28111,4
1/13/2022,1604664,3359,28123,12
1/14/2022,1609042,4378,28129,6
1/15/2022,1612489,3447,28136,7
1/16/2022,1617711,5222,28144,8
1/17/2022,1624387,6676,28154,10
1/18/2022,1632794,8407,28164,10
1/19/2022,1642294,9500,28176,12
1/20/2022,1653182,10888,28180,4
1/21/2022,1664616,11434,28192,12
1/22/2022,1674230,9614,28209,17
1/23/2022,1685136,10906,28223,14
1/24/2022,1699964,14828,28238,15
1/25/2022,1715997,16033,28256,18
1/26/2022,1731524,15527,28273,17
1/27/2022,1747331,15807,28288,15
1/28/2022,1762771,15440,28308,20
1/29/2022,1773149,10378,28329,21
1/30/2022,1785332,12183,28363,34
1/31/2022,1798833,13501,28394,31
2/1/2022,1811987,13154,28425,31
2/2/2022,1824180,12193,28461,36
2/3/2022,1835776,11596,28494,33
2/4/2022,1844828,9052,28524,30
2/5/2022,1853187,8359,28560,36
2/6/2022,1861532,8345,28589,29
2/7/2022,1870901,9369,28627,38
2/8/2022,1879255,8354,28670,43
2/9/2022,1887271,8016,28703,33
2/10/2022,1894535,7264,28744,41
2/11/2022,1899803,5268,28771,27
2/12/2022,1904826,5023,28791,20
2/13/2022,1909664,4838,28819,28
2/14/2022,1914356,4692,28838,19
2/15/2022,1919102,4746,28872,34
2/16/2022,1923031,3929,28887,15
2/17/2022,1926570,3539,28907,20
2/18/2022,1929154,2584,28931,24
2/19/2022,1931304,2150,28944,13
2/20/2022,1933291,1987,28965,21
2/21/2022,1935242,1951,28974,9
2/22/2022,1936837,1595,28990,16
2/23/2022,1938135,1298,28995,5
2/24/2022,1939651,1516,29005,10
2/25/2022,1941057,1406,29016,11
2/26/2022,1941816,759,29024,8
2/27/2022,1942680,864,29033,9
2/28/2022,1943577,897,29037,4
3/1/2022,1944376,799,29045,8
3/2/2022,1945108,732,29053,8
3/3/2022,1945765,657,29058,5
3/4/2022,1946369,604,29064,6
3/5/2022,1946737,368,29077,13
3/6/2022,1947266,529,29085,8
3/7/2022,1947702,436,29089,4
3/8/2022,1948148,446,29096,7
3/9/2022,1948471,323,29097,1
3/10/2022,1948798,327,29100,3
3/11/2022,1949055,257,29105,5
3/12/2022,1949253,198,29108,3
3/13/2022,1949486,233,29111,3
3/14/2022,1949725,239,29112,1
3/15/2022,1949942,217,29112,0
3/16/2022,1950124,182,29112,0
3/17/2022,1950357,233,29112,0
3/18/2022,1950465,108,29114,2
3/19/2022,1950527,62,29114,0
3/20/2022,1950609,82,29117,3
3/21/2022,1950725,116,29117,0
3/22/2022,1950846,121,29117,0
3/23/2022,1950980,134,29118,1
3/24/2022,1951072,92,29118,0
3/25/2022,1951174,102,29118,0
3/26/2022,1951239,65,29118,0
3/27/2022,1951282,43,29118,0
3/28/2022,1951363,81,29119,1
3/29/2022,1951432,69,29120,1
3/30/2022,1951504,72,29122,2
3/31/2022,1951577,73,29122,0
4/1/2022,1951658,81,29122,0
4/2/2022,1951714,56,29122,0
4/3/2022,1951770,56,29122,0
4/4/2022,1951831,61,29123,1
4/5/2022,1951867,36,29123,0
4/6/2022,1951903,36,29123,0
4/7/2022,1951947,44,29123,0
4/8/2022,1951995,48,29123,0
4/9/2022,1952023,28,29123,0
4/10/2022,1952065,42,29123,0
4/11/2022,1952109,44,29124,1
4/12/2022,1952131,22,29124,0
4/13/2022,1952162,31,29124,0
4/14/2022,1952197,35,29124,0
4/15/2022,1952224,27,29124,0
4/16/2022,1952275,51,29124,0
4/17/2022,1952326,51,29124,0
4/18/2022,1952362,36,29126,2
4/19/2022,1952412,50,29126,0
4/20/2022,1952440,28,29127,1
4/21/2022,1952485,45,29127,0
4/22/2022,1952506,21,29127,0
4/23/2022,1952532,26,29127,0
4/24/2022,1952556,24,29127,0
4/25/2022,1952583,27,29127,0
4/26/2022,1952602,19,29127,0
4/27/2022,1952625,23,29127,0
4/28/2022,1952644,19,29127,0
4/29/2022,1952674,30,29127,0
4/30/2022,1952691,17,29127,0
5/1/2022,1952716,25,29127,0
5/2/2022,1952726,10,29127,0
5/3/2022,1952733,7,29127,0
5/4/2022,1952743,10,29127,0
5/5/2022,1952747,4,29127,0
5/6/2022,1952766,19,29127,0
